Cycle: (Cycle #)
Experiment #: 6
Proposal ID: 31767
Instrument: HB2D
Experiment Title: Spin textured beam
Session Start Time: 08/29/2023  03:46:48 PM

Parameters Logged:
Device Name	Timestamp	Value
nu_3_current	08/29/2023  04:27:53 PM	-0.0006
nu_1_current	08/29/2023  04:28:54 PM	0.0027
ac_1_current	08/29/2023  04:28:54 PM	-0.0005
prism_current	08/29/2023  04:28:54 PM	0.0015
nu_2_current	08/29/2023  04:28:54 PM	-0.0017
ac_2_current	08/29/2023  04:28:54 PM	0.0006
nu_3_current	08/29/2023  04:28:54 PM	-0.0006
nu_1_current	08/29/2023  04:29:55 PM	0.0027
ac_1_current	08/29/2023  04:29:55 PM	-0.0005
prism_current	08/29/2023  04:29:55 PM	0.0015
nu_2_current	08/29/2023  04:29:55 PM	-0.0017
ac_2_current	08/29/2023  04:29:55 PM	0.0007
nu_3_current	08/29/2023  04:29:55 PM	-0.0006
nu_1_current	08/29/2023  04:30:55 PM	0.0027
ac_1_current	08/29/2023  04:30:55 PM	-0.0005
prism_current	08/29/2023  04:30:55 PM	0.0015
nu_2_current	08/29/2023  04:30:55 PM	-0.0018
ac_2_current	08/29/2023  04:30:55 PM	0.0006
nu_3_current	08/29/2023  04:30:55 PM	-0.0005
nu_1_current	08/29/2023  04:31:55 PM	0.0027
ac_1_current	08/29/2023  04:31:55 PM	-0.0005
prism_current	08/29/2023  04:31:55 PM	0.0014
nu_2_current	08/29/2023  04:31:55 PM	-0.0018
ac_2_current	08/29/2023  04:31:55 PM	0.0006
nu_3_current	08/29/2023  04:31:55 PM	-0.0005
nu_1_current	08/29/2023  04:32:55 PM	0.0027
ac_1_current	08/29/2023  04:32:55 PM	-0.0005
prism_current	08/29/2023  04:32:55 PM	0.0015
nu_2_current	08/29/2023  04:32:55 PM	-0.0017
ac_2_current	08/29/2023  04:32:55 PM	0.0006
nu_3_current	08/29/2023  04:32:55 PM	-0.0005
nu_1_current	08/29/2023  04:33:55 PM	0.0027
ac_1_current	08/29/2023  04:33:55 PM	-0.0005
prism_current	08/29/2023  04:33:55 PM	0.0015
nu_2_current	08/29/2023  04:33:55 PM	-0.0017
ac_2_current	08/29/2023  04:33:55 PM	0.0007
nu_3_current	08/29/2023  04:33:55 PM	-0.0006
nu_1_current	08/29/2023  04:34:55 PM	0.0027
ac_1_current	08/29/2023  04:34:55 PM	-0.0005
prism_current	08/29/2023  04:34:55 PM	0.0014
nu_2_current	08/29/2023  04:34:55 PM	-0.0018
ac_2_current	08/29/2023  04:34:55 PM	0.0007
nu_3_current	08/29/2023  04:34:55 PM	-0.0005
nu_1_current	08/29/2023  04:35:55 PM	0.0027
ac_1_current	08/29/2023  04:35:55 PM	-0.0005
prism_current	08/29/2023  04:35:55 PM	0.0015
nu_2_current	08/29/2023  04:35:55 PM	-0.0018
ac_2_current	08/29/2023  04:35:55 PM	0.0007
nu_3_current	08/29/2023  04:35:55 PM	-0.0006
nu_1_current	08/29/2023  04:36:56 PM	0.0027
ac_1_current	08/29/2023  04:36:56 PM	-0.0006
prism_current	08/29/2023  04:36:56 PM	0.0015
nu_2_current	08/29/2023  04:36:56 PM	-0.0018
ac_2_current	08/29/2023  04:36:56 PM	0.0007
nu_3_current	08/29/2023  04:36:56 PM	-0.0005
